"Wk","Home","Away","league_conseq","league_conseq.home","league_conseq.away","home_can_win_league","home_can_reach_champions","home_can_reach_europa","home_can_be_relegated","away_can_win_league","away_can_reach_champions","away_can_reach_europa","away_can_be_relegated","Season_End_Year","Competition_Name","Gender","Country","Round","Day","Date","Time","HomeGoals","Home_xG","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL","home_points_at_start","home_max_points","home_locked_league_win","home_locked_champions","home_locked_europa","home_locked_relegation","away_points_at_start","away_max_points","away_locked_league_win","away_locked_champions","away_locked_europa","away_locked_relegation"
11,"Lazio","SPAL",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17839,"12:30",4,2.2,1,1.2,35573,"Stadio Olimpico","Marco Guida",NA,"https://fbref.com/en/matches/1c2946a4/Lazio-SPAL-November-4-2018-Serie-A",18,99,0,0,0,0,12,93,0,0,0,0
11,"Sampdoria","Torino",1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17839,"15:00",1,1.4,4,2.3,20364,"Stadio Comunale Luigi Ferraris","Gianluca Rocchi",NA,"https://fbref.com/en/matches/6ca98909/Sampdoria-Torino-November-4-2018-Serie-A",15,96,0,0,0,0,14,95,0,0,0,0
11,"Parma","Frosinone",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17839,"15:00",0,0.5,0,0.5,14004,"Stadio Ennio Tardini","Gianluca Manganiello",NA,"https://fbref.com/en/matches/bf3d8da2/Parma-Frosinone-November-4-2018-Serie-A",13,94,0,0,0,0,5,86,0,0,0,0
11,"Chievo","Sassuolo",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17839,"15:00",0,0.3,2,0.9,8100,"Stadio Marc'Antonio Bentegodi","Gianluca Aureliano",NA,"https://fbref.com/en/matches/c91dcd07/Chievo-Sassuolo-November-4-2018-Serie-A",2,83,0,0,0,0,15,96,0,0,0,0
11,"Bologna","Atalanta",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17839,"18:00",1,1.9,2,1.7,19038,"Stadio Renato Dall'Ara","Federico La Penna",NA,"https://fbref.com/en/matches/994f1a0f/Bologna-Atalanta-November-4-2018-Serie-A",9,90,0,0,0,0,12,93,0,0,0,0
11,"Udinese","Milan",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17839,"20:30",0,0.5,1,0.7,23540,"Dacia Arena","Marco Di Bello",NA,"https://fbref.com/en/matches/9d192295/Udinese-Milan-November-4-2018-Serie-A",9,90,0,0,0,0,18,99,0,0,0,0
12,"Frosinone","Fiorentina",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Fri",17844,"20:30",1,0.4,1,2.1,13378,"Stadio Benito Stirpe","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/6135ca5f/Frosinone-Fiorentina-November-9-2018-Serie-A",6,84,0,0,0,0,16,94,0,0,0,0
12,"Torino","Parma",1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17845,"15:00",1,2.6,2,1.6,17431,"Stadio Olimpico di Torino","Davide Massa",NA,"https://fbref.com/en/matches/62e494f0/Torino-Parma-November-10-2018-Serie-A",17,95,0,0,0,0,14,92,0,0,0,0
12,"SPAL","Cagliari",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17845,"18:00",2,1.7,2,1.2,13250,"Stadio Paolo Mazza","Daniele Doveri",NA,"https://fbref.com/en/matches/3a437e3a/SPAL-Cagliari-November-10-2018-Serie-A",12,90,0,0,0,0,13,91,0,0,0,0
12,"Genoa","Napoli",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17845,"20:30",1,0.7,2,1.7,25365,"Stadio Comunale Luigi Ferraris","Rosario Abisso",NA,"https://fbref.com/en/matches/1354b373/Genoa-Napoli-November-10-2018-Serie-A",14,92,0,0,0,0,25,103,0,0,0,0
12,"Atalanta","Inter",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17846,"12:30",4,3.4,1,1.4,20633,"Stadio Atleti Azzurri d'Italia","Fabio Maresca",NA,"https://fbref.com/en/matches/6c35c803/Atalanta-Internazionale-November-11-2018-Serie-A",15,93,0,0,0,0,25,103,0,0,0,0
12,"Roma","Sampdoria",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17846,"15:00",4,2.7,1,0.9,37582,"Stadio Olimpico","Massimiliano Irrati",NA,"https://fbref.com/en/matches/64a88b2f/Roma-Sampdoria-November-11-2018-Serie-A",16,94,0,0,0,0,15,93,0,0,0,0
12,"Empoli","Udinese",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17846,"15:00",2,1.3,1,3.9,7553,"Stadio Carlo Castellani","Piero Giacomelli",NA,"https://fbref.com/en/matches/e9e33752/Empoli-Udinese-November-11-2018-Serie-A",6,84,0,0,0,0,9,87,0,0,0,0
