"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"225",225,"45242-SJ@ANA","2023-11-12","San Jose Sharks","Anaheim Ducks",1,2,0,2,0,0,0,0,0,0
"226",226,"45242-VAN@MTL","2023-11-12","Vancouver Canucks","Montreal Canadiens",5,1,0,1,0,0,0,0,0,0
"227",227,"45243-COL@SEA","2023-11-13","Colorado Avalanche","Seattle Kraken",3,1,0,0,2,0,0,0,0,0
"228",228,"45243-NYI@EDM","2023-11-13","New York Islanders","Edmonton Oilers",1,1,0,2,0,1,0,0,0,0
"229",229,"45244-ANA@NSH","2023-11-14","Anaheim Ducks","Nashville Predators",3,1,0,1,0,0,0,0,0,0
"230",230,"45244-ARI@DAL","2023-11-14","Arizona Coyotes","Dallas Stars",2,2,0,1,1,0,0,1,0,0
"231",231,"45244-BOS@BUF","2023-11-14","Boston Bruins","Buffalo Sabres",4,2,0,0,1,0,0,0,0,0
"232",232,"45244-CGY@MTL","2023-11-14","Calgary Flames","Montreal Canadiens",2,1,0,0,0,0,0,0,0,0
"233",233,"45244-FLA@SJ","2023-11-14","Florida Panthers","San Jose Sharks",3,2,0,1,2,0,0,0,0,0
"234",234,"45244-NJ@WPG","2023-11-14","New Jersey Devils","Winnipeg Jets",1,4,0,2,2,0,0,0,0,0
"235",235,"45244-PIT@CBJ","2023-11-14","Pittsburgh Penguins","Columbus Blue Jackets",5,3,0,0,0,0,0,0,0,0
"236",236,"45244-TB@STL","2023-11-14","Tampa Bay Lightning","St. Louis Blues",0,5,0,0,0,0,0,0,0,0
"237",237,"45244-VGS@WSH","2023-11-14","Vegas Golden Knights","Washington Capitals",0,3,0,0,0,0,0,0,0,0
"238",238,"45245-ANA@COL","2023-11-15","Anaheim Ducks","Colorado Avalanche",2,7,0,1,0,0,0,0,0,0
"239",239,"45245-NYI@VAN","2023-11-15","New York Islanders","Vancouver Canucks",1,0,0,3,2,0,0,1,0,0
"240",240,"45245-PHI@CAR","2023-11-15","Philadelphia Flyers","Carolina Hurricanes",3,1,0,0,0,0,0,0,0,0
"241",241,"45245-SEA@EDM","2023-11-15","Seattle Kraken","Edmonton Oilers",3,3,0,0,0,0,0,1,0,0
"242",242,"45246-ARI@CBJ","2023-11-16","Arizona Coyotes","Columbus Blue Jackets",2,2,0,0,1,0,0,0,0,0
